Designator,Mid X,Mid Y,Rotation,Layer
AE1,114.6,-57.1,180.0,top
BZ1,58.0,-31.1,180.0,top
C1,76.9,-37.9,180.0,top
C10,110.2,-46.6,270.0,top
C11,115.1,-53.4,0.0,top
C2,96.5,-38.0,180.0,top
C3,116.3,-37.9,180.0,top
C4,103.8,-51.2,270.0,top
C5,108.1,-57.6,0.0,top
C6,111.4,-55.0,270.0,top
C7,115.1,-50.3,0.0,top
C8,102.4,-50.2,0.0,top
C9,109.7,-52.1,90.0,top
J8,57.72,-75.551994,0.0,top
J9,117.29,-75.6,180.0,top
L1,114.6,-51.8,270.0,top
LED1,70.6,-38.7,0.0,top
LED2,90.475,-38.7,0.0,top
LED3,110.3,-38.7,0.0,top
MOUSE-BITE-2MM-SLOT_4,116.4,-65.1,0.0,top
MOUSE-BITE-2MM-SLOT_3,75.1,-65.1,0.0,top
MOUSE-BITE-2MM-SLOT_2,116.4,-44.1,0.0,top
MOUSE-BITE-2MM-SLOT,75.1,-44.1,0.0,top
MX1,70.564824,-33.6,0.0,top
MX2,90.4,-33.6,0.0,top
MX3,110.24,-33.6,0.0,top
Q1,61.3,-37.9,0.0,top
R1,58.8,-39.5,270.0,top
R2,65.3,-38.0,0.0,top
R3,108.8,-46.1,180.0,top
U3,106.9,-49.45,0.0,top
U4,111.7,-49.7,270.0,top
Y1,108.8,-55.3,180.0,top
